Code_x,Description,Code_y
01A,"Afognak Lake, AK: Afognak Lake Airport",10001
03A,"Granite Mountain, AK: Bear Creek Mining Strip",10003
04A,"Lik, AK: Lik Mining Camp",10004
05A,"Little Squaw, AK: Little Squaw Airport",10005
06A,"Kizhuyak, AK: Kizhuyak Bay",10006
07A,"Klawock, AK: Klawock Seaplane Base",10007
08A,"Elizabeth Island, AK: Elizabeth Island Airport",10008
09A,"Homer, AK: Augustin Island",10009
1AK,"Mertarvik, AK: Mertarvik Quarry Road Landing Strip",16923
1B1,"Hudson, NY: Columbia County",10010
1CA,"Rio Vista, CA: Rio Vista Municipal",16843
1FL,"Titusville, FL: Space Florida Launch Landing Facility",13750
1G4,"Peach Springs, AZ: Grand Canyon West",10011
1G4,"Peach Springs, AZ: Grand Canyon West",11398
DQR,"Peach Springs, AZ: Grand Canyon West",10011
DQR,"Peach Springs, AZ: Grand Canyon West",11398
1GA,"Hampton, GA: Atlanta Speedway",16842
1N7,"Blairstown, NJ: Blairstown Airport",10012
1NC,"Roanoke Rapids, NC: Halifax Northampton Regional",14668
1NJ,"Andover, NJ: Aeroflex Andover",16990
1NY,"Penn Yan, NY: Penn Yan Airport",16571
1OH,"Willoughby, OH: Lake County Executive",16935
1PA,"Connellsville, PA: Joseph A Hardy Connellsville",16959
1TN,"Lexington Parsons, TN: Beech River Regional",16840
1TX,"Dumas, TX: Moore County",16853
1VA,"Warrenton, VA: Warrenton Fauquier",16951
1WA,"Deer Park, WA: Deer Park Airport",16908
2AK,"Deerpark, AK: Deer Park",16982
2CA,"Delano, CA: Delano Municipal",16844
2FL,"West Palm Beach, FL: North Palm Beach County Gen Aviation",16901
2GA,"Camilla, GA: Camilla Mitchell County",16848
2NC,"Asheboro, NC: Asheboro Regional",16934
2NY,"Port Washington, NY: Sands Point Seaplane Base",16830
2TN,"Dayton, TN: Mark Anton",16898
2TX,"Brenham, TX: Brenham Municipal",16897
2VA,"Williamsburg, VA: Camp Peary Landing Strip",16980
2WK,"Odessa, WA: Odessa Municipal",16983
3AK,"Tintina, AK: Gold Mining Landing Strip",16992
3CA,"Garberville, CA: Garberville Airport",16907
3GA,"Blakely, GA: Early County",16875
3NC,"Hendersonville, NC: Hendersonville Airport",16991
3NY,"Suffolk, NY: Sebonac",16831
3TN,"Elizabethon, TN: Elizabethton Municipal",16940
3TX,"Lancaster, TX: Lancaster Regional",16880
4AK,"North Pole, AK: Bradley Sky Ranch",16994
4CA,"Davis, CA: University",16920
4CL,"El Mirage, CA: El Mirage Field Adelanto",16914
4GA,"Atlanta, GA: Paulding Memorial Hospital Heliport",16913
